Prime numbers : 
2,00
3,00
5,00
7,00
11,00
13,00
17,00
19,00
23,00
29,00
31,00
37,00
41,00
43,00
47,00
53,00
59,00
61,00
67,00
71,00
73,00
79,00
83,00
89,00
97,00
101,00
103,00
107,00
109,00
113,00
127,00
131,00
137,00
139,00
149,00
151,00
157,00
163,00
167,00
173,00
179,00
181,00
191,00
193,00
197,00
199,00
211,00
223,00
227,00
229,00
233,00
239,00
241,00
251,00
257,00
263,00
269,00
271,00
277,00
281,00
283,00
293,00
307,00
311,00
313,00
317,00
331,00
337,00
347,00
349,00
353,00
359,00
367,00
373,00
379,00
383,00
389,00
397,00
401,00
409,00
419,00
421,00
431,00
433,00
439,00
443,00
449,00
457,00
461,00
463,00
467,00
479,00
487,00
491,00
499,00
503,00
509,00
521,00
523,00
541,00
547,00
557,00
563,00
569,00
571,00
577,00
587,00
593,00
599,00
601,00
607,00
613,00
617,00
619,00
631,00
641,00
643,00
647,00
653,00
659,00
661,00
673,00
677,00
683,00
691,00
701,00
709,00
719,00
727,00
733,00
739,00
743,00
751,00
757,00
761,00
769,00
773,00
787,00
797,00
809,00
811,00
821,00
823,00
827,00
829,00
839,00
853,00
857,00
859,00
863,00
877,00
881,00
883,00
887,00
907,00
911,00
919,00
929,00
937,00
941,00
947,00
953,00
967,00
971,00
977,00
983,00
991,00
997,00
1009,00
1013,00
1019,00
1021,00
1031,00
1033,00
1039,00
1049,00
1051,00
1061,00
1063,00
1069,00
1087,00
1091,00
1093,00
1097,00
1103,00
1109,00
1117,00
1123,00
1129,00
1151,00
1153,00
1163,00
1171,00
1181,00
1187,00
1193,00
1201,00
1213,00
1217,00
1223,00
1229,00
1231,00
1237,00
1249,00
1259,00
1277,00
1279,00
1283,00
1289,00
1291,00
1297,00
1301,00
1303,00
1307,00
1319,00
1321,00
1327,00
1361,00
1367,00
1373,00
1381,00
1399,00
1409,00
1423,00
1427,00
1429,00
1433,00
1439,00
1447,00
1451,00
1453,00
1459,00
1471,00
1481,00
1483,00
1487,00
1489,00
1493,00
1499,00
1511,00
1523,00
1531,00
1543,00
1549,00
1553,00
1559,00
1567,00
1571,00
1579,00
1583,00
1597,00
1601,00
1607,00
1609,00
1613,00
1619,00
1621,00
1627,00
1637,00
1657,00
1663,00
1667,00
1669,00
1693,00
1697,00
1699,00
1709,00
1721,00
1723,00
1733,00
1741,00
1747,00
1753,00
1759,00
1777,00
1783,00
1787,00
1789,00
1801,00
1811,00
1823,00
1831,00
1847,00
1861,00
1867,00
1871,00
1873,00
1877,00
1879,00
1889,00
1901,00
1907,00
1913,00
1931,00
1933,00
1949,00
1951,00
1973,00
1979,00
1987,00
1993,00
1997,00
1999,00
2003,00
2011,00
2017,00
2027,00
2029,00
2039,00
2053,00
2063,00
2069,00
2081,00
2083,00
2087,00
2089,00
